Period,Number,Big/Small,Color,Premium
20250621100010459,7,Big,green,45867
20250621100010460,9,Big,green,56259
20250621100010461,4,Small,red,20674
20250621100010462,5,Big,"green,violet",71245
20250621100010463,2,Small,red,99672
20250621100010464,9,Big,green,49069
20250621100010465,5,Big,"green,violet",58905
20250621100010466,5,Big,"green,violet",18385
20250621100010467,2,Small,red,94162
20250621100010468,2,Small,red,87382
20250621100010469,6,Big,red,62826
20250621100010470,9,Big,green,26669
20250621100010471,3,Small,green,30323
20250621100010472,3,Small,green,65373
20250621100010473,9,Big,green,10299
20250621100010474,4,Small,red,20464
20250621100010475,6,Big,red,21566
20250621100010476,8,Big,red,15188
20250621100010477,3,Small,green,40843
20250621100010478,6,Big,red,34176
20250621100010479,9,Big,green,30529
20250621100010480,1,Small,green,56161
20250621100010481,7,Big,green,26587
20250621100010482,5,Big,"green,violet",31295
20250621100010483,0,Small,"red,violet",71930
20250621100010484,2,Small,red,81062
20250621100010485,9,Big,green,59839
20250621100010486,3,Small,green,46493
20250621100010487,7,Big,green,27067
20250621100010488,2,Small,red,56042
20250621100010489,8,Big,red,49098
20250621100010490,1,Small,green,13371
20250621100010491,7,Big,green,13287
20250621100010492,9,Big,green,54719
20250621100010493,4,Small,red,45464
20250621100010494,7,Big,green,61037
20250621100010495,2,Small,red,42682
20250621100010496,1,Small,green,43411
20250621100010497,5,Big,"green,violet",59875
20250621100010498,5,Big,"green,violet",80655
20250621100010499,6,Big,red,27966
20250621100010500,1,Small,green,48031
20250621100010501,5,Big,"green,violet",24805
20250621100010502,4,Small,red,54964
20250621100010503,3,Small,green,61423
20250621100010504,7,Big,green,84767
20250621100010505,5,Big,"green,violet",65475
20250621100010506,5,Big,"green,violet",43785
20250621100010507,2,Small,red,15072
20250621100010508,4,Small,red,37954
20250621100010509,8,Big,red,37918
20250621100010510,4,Small,red,58154
20250621100010511,0,Small,"red,violet",57260
20250621100010512,6,Big,red,55796
20250621100010513,4,Small,red,57004
20250621100010514,0,Small,"red,violet",76310
20250621100010515,8,Big,red,72028
20250621100010516,0,Small,"red,violet",39400
20250621100010517,2,Small,red,61852
20250621100010518,2,Small,red,14952
20250621100010519,2,Small,red,44192
20250621100010520,3,Small,green,33623
20250621100010521,6,Big,red,11166
20250621100010522,3,Small,green,44743
20250621100010523,1,Small,green,86321
20250621100010524,3,Small,green,86443
20250621100010525,1,Small,green,41951
20250621100010526,5,Big,"green,violet",79425
20250621100010527,4,Small,red,92554
20250621100010528,8,Big,red,74338
20250621100010529,4,Small,red,24304
20250621100010530,6,Big,red,67846
20250621100010531,7,Big,green,88577
20250621100010532,7,Big,green,51257
20250621100010533,4,Small,red,61184
20250621100010534,0,Small,"red,violet",40850
20250621100010535,6,Big,red,45706
20250621100010536,2,Small,red,27962
20250621100010537,2,Small,red,68752
20250621100010538,4,Small,red,87634
20250621100010539,9,Big,green,57729
20250621100010540,0,Small,"red,violet",68280
20250621100010541,1,Small,green,33861
20250621100010542,0,Small,"red,violet",42160
20250621100010543,0,Small,"red,violet",77970
20250621100010544,6,Big,red,99756
20250621100010545,9,Big,green,22279
20250621100010546,4,Small,red,84664
20250621100010547,4,Small,red,78294
20250621100010548,6,Big,red,99226
20250621100010549,1,Small,green,65801
20250621100010550,6,Big,red,21656
20250621100010551,8,Big,red,50748
20250621100010552,0,Small,"red,violet",88300
20250621100010553,2,Small,red,14772
20250621100010554,0,Small,"red,violet",96000
20250621100010555,0,Small,"red,violet",77140
20250621100010556,7,Big,green,30337
20250621100010557,6,Big,red,90666
20250621100010558,2,Small,red,52072
20250621100010559,9,Big,green,81499
20250621100010560,1,Small,green,85681
20250621100010561,2,Small,red,64472
20250621100010562,7,Big,green,78817
20250621100010563,2,Small,red,38252
20250621100010564,1,Small,green,11791
20250621100010565,5,Big,"green,violet",15205
20250621100010566,8,Big,red,33438
20250621100010567,1,Small,green,24281
20250621100010568,9,Big,green,27309
20250621100010569,3,Small,green,44033
20250621100010570,6,Big,red,94546
20250621100010571,9,Big,green,28269
20250621100010572,3,Small,green,24353
20250621100010573,6,Big,red,10996
20250621100010574,0,Small,"red,violet",94820
20250621100010575,0,Small,"red,violet",79990
20250621100010576,0,Small,"red,violet",15690
20250621100010577,7,Big,green,28427
20250621100010578,5,Big,"green,violet",42835
20250621100010579,3,Small,green,79473
20250621100010580,9,Big,green,63069
20250621100010581,1,Small,green,53381
20250621100010582,4,Small,red,28024
20250621100010583,8,Big,red,59738
20250621100010584,4,Small,red,48524
20250621100010585,6,Big,red,22946
20250621100010586,9,Big,green,68809
20250621100010587,5,Big,"green,violet",50985
20250621100010588,6,Big,red,85166
20250621100010589,7,Big,green,10137
20250621100010590,4,Small,red,83444
20250621100010591,0,Small,"red,violet",89200
20250621100010592,3,Small,green,16283
20250621100010593,5,Big,"green,violet",34495
20250621100010594,2,Small,red,85242
20250621100010595,1,Small,green,49051
20250621100010596,8,Big,red,81308
20250621100010597,1,Small,green,16031
20250621100010598,3,Small,green,52083
20250621100010599,4,Small,red,25994
20250621100010600,6,Big,red,30156
20250621100010601,4,Small,red,70664
20250621100010602,9,Big,green,35779
20250621100010603,5,Big,"green,violet",39145
20250621100010604,3,Small,green,87803
20250621100010605,3,Small,green,20523
20250621100010606,1,Small,green,55921
20250621100010607,7,Big,green,68697
20250621100010608,9,Big,green,78259
20250621100010609,8,Big,red,20468
20250621100010610,4,Small,red,55454
20250621100010611,7,Big,green,45597
20250621100010612,2,Small,red,47342
20250621100010613,7,Big,green,72967
20250621100010614,5,Big,"green,violet",42405
20250621100010615,1,Small,green,37691
20250621100010616,6,Big,red,44616
20250621100010617,5,Big,"green,violet",84445
20250621100010618,6,Big,red,44966
20250621100010619,1,Small,green,13721
20250621100010620,4,Small,red,57834
20250621100010621,2,Small,red,48552
20250621100010622,9,Big,green,27039
20250621100010623,2,Small,red,22722
20250621100010624,4,Small,red,44844
20250621100010625,2,Small,red,91622
20250621100010626,6,Big,red,89486
20250621100010627,6,Big,red,80816
20250621100010628,9,Big,green,27049
20250621100010629,4,Small,red,25914
20250621100010630,5,Big,"green,violet",65645
20250621100010631,4,Small,red,93544
20250621100010632,7,Big,green,43127
20250621100010633,9,Big,green,80049
20250621100010634,5,Big,"green,violet",49905
20250621100010635,5,Big,"green,violet",65475
20250621100010636,9,Big,green,34839
20250621100010637,5,Big,"green,violet",46995
20250621100010638,2,Small,red,90432
20250621100010639,4,Small,red,83904
20250621100010640,6,Big,red,68696
20250621100010641,0,Small,"red,violet",12120
20250621100010642,1,Small,green,40221
20250621100010643,7,Big,green,59457
20250621100010644,4,Small,red,90494
20250621100010645,3,Small,green,60853
20250621100010646,5,Big,"green,violet",73475
20250621100010647,8,Big,red,19488
20250621100010648,8,Big,red,41658
20250621100010649,9,Big,green,69449
20250621100010650,1,Small,green,99851
20250621100010651,5,Big,"green,violet",36185
20250621100010652,4,Small,red,83384
20250621100010653,7,Big,green,42687
20250621100010654,5,Big,"green,violet",72925
20250621100010655,1,Small,green,64481
20250621100010656,1,Small,green,67161
20250621100010657,1,Small,green,69511
20250621100010658,3,Small,green,92713
20250621100010659,5,Big,"green,violet",47795
20250621100010660,9,Big,green,38979
20250621100010661,3,Small,green,40263
20250621100010662,2,Small,red,12262
20250621100010663,2,Small,red,53602
20250621100010664,5,Big,"green,violet",94825
20250621100010665,6,Big,red,51566
20250621100010666,0,Small,"red,violet",61780
20250621100010667,8,Big,red,33568
20250621100010668,1,Small,green,91341
20250621100010669,9,Big,green,29229
20250621100010670,6,Big,red,43686
20250621100010671,4,Small,red,87794
20250621100010672,6,Big,red,23736
20250621100010673,2,Small,red,96452
20250621100010674,9,Big,green,49499
20250621100010675,8,Big,red,60368
20250621100010676,7,Big,green,85017
20250621100010677,0,Small,"red,violet",61020
20250621100010678,2,Small,red,56352
20250621100010679,0,Small,"red,violet",19810
20250621100010680,2,Small,red,17132
20250621100010681,8,Big,red,61428
20250621100010682,0,Small,"red,violet",35100
20250621100010683,2,Small,red,36792
20250621100010684,2,Small,red,36902
20250621100010685,5,Big,"green,violet",73515
20250621100010686,9,Big,green,88269
20250621100010687,6,Big,red,88066
20250621100010688,9,Big,green,51059
20250621100010689,1,Small,green,51051
20250621100010690,1,Small,green,10841
20250621100010691,5,Big,"green,violet",95815
20250621100010692,9,Big,green,67569
20250621100010693,7,Big,green,97087
20250621100010694,0,Small,"red,violet",19630
20250621100010695,1,Small,green,34201
20250621100010696,4,Small,red,23984
20250621100010697,3,Small,green,85963
20250621100010698,8,Big,red,57928
20250621100010699,1,Small,green,71931
20250621100010700,5,Big,"green,violet",12505
20250621100010701,8,Big,red,50038
20250621100010702,9,Big,green,63399
20250621100010703,7,Big,green,53317
20250621100010704,4,Small,red,10094
20250621100010705,4,Small,red,65674
20250621100010706,9,Big,green,92439
20250621100010707,9,Big,green,72249
20250621100010708,6,Big,red,80506
20250621100010709,3,Small,green,24023
20250621100010710,7,Big,green,57197
20250621100010711,2,Small,red,11672
20250621100010712,8,Big,red,22168
20250621100010713,8,Big,red,60468
20250621100010714,1,Small,green,43181
20250621100010715,1,Small,green,18681
20250621100010716,5,Big,"green,violet",80475
20250621100010717,9,Big,green,42569
20250621100010718,5,Big,"green,violet",52335
20250621100010719,1,Small,green,86181
20250621100010720,5,Big,"green,violet",98975
20250621100010721,0,Small,"red,violet",96390
20250621100010722,2,Small,red,71932
20250621100010723,5,Big,"green,violet",43815
20250621100010724,9,Big,green,50209
20250621100010725,8,Big,red,25298
20250621100010726,1,Small,green,55801
20250621100010727,6,Big,red,34346
20250621100010728,5,Big,"green,violet",10315
20250621100010729,7,Big,green,39267
20250621100010730,1,Small,green,85381
20250621100010731,1,Small,green,69851
20250621100010732,4,Small,red,96164
20250621100010733,3,Small,green,93123
20250621100010734,0,Small,"red,violet",50360
20250621100010735,3,Small,green,79513
20250621100010736,0,Small,"red,violet",53270
20250621100010737,5,Big,"green,violet",98815
20250621100010738,4,Small,red,72054
20250621100010739,0,Small,"red,violet",59520
20250621100010740,5,Big,"green,violet",30165
20250621100010741,8,Big,red,88508
20250621100010742,2,Small,red,66302
20250621100010743,4,Small,red,23924
20250621100010744,2,Small,red,91352
20250621100010745,2,Small,red,36282
20250621100010746,1,Small,green,72821
20250621100010747,1,Small,green,83641
20250621100010748,9,Big,green,43959
20250621100010749,4,Small,red,96034
20250621100010750,1,Small,green,66481
20250621100010751,4,Small,red,60904
20250621100010752,8,Big,red,24198
20250621100010753,2,Small,red,54072
20250621100010754,6,Big,red,80606
20250621100010755,8,Big,red,26468
20250621100010756,4,Small,red,14624
20250621100010757,2,Small,red,16582
20250621100010758,7,Big,green,87367
20250621100010759,1,Small,green,10241
20250621100010760,7,Big,green,83987
20250621100010761,8,Big,red,98448
20250621100010762,7,Big,green,52797
20250621100010763,7,Big,green,24147
20250621100010764,3,Small,green,76343
20250621100010765,0,Small,"red,violet",70180
20250621100010766,9,Big,green,38039
20250621100010767,5,Big,"green,violet",22005
20250621100010768,6,Big,red,11186
20250621100010769,8,Big,red,68768
20250621100010770,1,Small,green,35581
20250621100010771,6,Big,red,75666
20250621100010772,5,Big,"green,violet",53285
20250621100010773,7,Big,green,71967
20250621100010774,8,Big,red,35708
20250621100010775,5,Big,"green,violet",97485
20250621100010776,4,Small,red,54124
20250621100010777,6,Big,red,31016
20250621100010778,7,Big,green,42387
20250621100010779,4,Small,red,88104
20250621100010780,0,Small,"red,violet",95890
20250621100010781,5,Big,"green,violet",97105
20250621100010782,1,Small,green,1651
20250621100010783,7,Big,green,8037
20250621100010784,7,Big,green,83677
20250621100010785,5,Big,"green,violet",94045
20250621100010786,9,Big,green,47559
20250621100010787,9,Big,green,82929
20250621100010788,4,Small,red,98974
20250621100010789,2,Small,red,92522
20250621100010790,2,Small,red,68182
20250621100010791,0,Small,"red,violet",12200
20250621100010792,0,Small,"red,violet",83960
20250621100010793,1,Small,green,52431
20250621100010794,3,Small,green,23503
20250621100010795,1,Small,green,36111
20250621100010796,8,Big,red,10078
20250621100010797,7,Big,green,92387
20250621100010798,7,Big,green,11197
20250621100010799,5,Big,"green,violet",45825
20250621100010800,2,Small,red,56502
20250621100010801,9,Big,green,8359
20250621100010802,1,Small,green,23101
20250621100010803,3,Small,green,10743
20250621100010804,2,Small,red,27322
20250621100010805,2,Small,red,16532
20250621100010806,3,Small,green,45243
20250621100010807,7,Big,green,99537
20250621100010808,4,Small,red,71744
20250621100010809,3,Small,green,31613
20250621100010810,1,Small,green,32581
20250621100010811,9,Big,green,20999
20250621100010812,9,Big,green,43139
20250621100010813,8,Big,red,84828
20250621100010814,9,Big,green,59929
20250621100010815,0,Small,"red,violet",96500
20250621100010816,1,Small,green,67611
20250621100010817,6,Big,red,67806
20250621100010818,1,Small,green,76611
20250621100010819,7,Big,green,56417
20250621100010820,0,Small,"red,violet",99640
20250621100010821,2,Small,red,64412
20250621100010822,1,Small,green,34211
20250621100010823,5,Big,"green,violet",34005
20250621100010824,7,Big,green,60577
20250621100010825,2,Small,red,30602
20250621100010826,6,Big,red,7946
20250621100010827,9,Big,green,49489
20250621100010828,2,Small,red,99162
20250621100010829,5,Big,"green,violet",70515
20250621100010830,5,Big,"green,violet",26425
20250621100010831,4,Small,red,61784
20250621100010832,5,Big,"green,violet",84995
20250621100010833,8,Big,red,19008
20250621100010834,8,Big,red,27198
20250621100010835,0,Small,"red,violet",19310
20250621100010836,3,Small,green,38383
20250621100010837,4,Small,red,7844
20250621100010838,1,Small,green,47131
20250621100010839,1,Small,green,33491
20250621100010840,3,Small,green,40053
20250621100010841,2,Small,red,78032
20250621100010842,2,Small,red,26502
20250621100010843,7,Big,green,90897
20250621100010844,6,Big,red,92026
20250621100010845,9,Big,green,17459
20250621100010846,5,Big,"green,violet",32415
20250621100010847,7,Big,green,13677
20250621100010848,0,Small,"red,violet",31150
20250621100010849,5,Big,"green,violet",97395
20250621100010850,5,Big,"green,violet",14605
20250621100010851,5,Big,"green,violet",42465
20250621100010852,4,Small,red,5304
20250621100010853,6,Big,red,91326
20250621100010854,4,Small,red,41764
20250621100010855,1,Small,green,43531
20250621100010856,8,Big,red,92518
20250621100010857,0,Small,"red,violet",47410
20250621100010858,2,Small,red,22672
20250621100010859,7,Big,green,92617
20250621100010860,4,Small,red,36044
20250621100010861,4,Small,red,72794
20250621100010862,3,Small,green,4653
20250621100010863,8,Big,red,80998
20250621100010864,3,Small,green,89683
20250621100010865,4,Small,red,34774
20250621100010866,8,Big,red,20738
20250621100010867,0,Small,"red,violet",88650
20250621100010868,3,Small,green,15573
20250621100010869,8,Big,red,61598
20250621100010870,9,Big,green,81859
20250621100010871,2,Small,red,84892
20250621100010872,6,Big,red,64376
20250621100010873,8,Big,red,99338
20250621100010874,2,Small,red,85882
20250621100010875,5,Big,"green,violet",45485
20250621100010876,6,Big,red,85186
20250621100010877,3,Small,green,99223
20250621100010878,9,Big,green,97359
20250621100010879,4,Small,red,75384
20250621100010880,5,Big,"green,violet",19555
20250621100010881,4,Small,red,37684
20250621100010882,7,Big,green,25417
20250621100010883,1,Small,green,19951
20250621100010884,5,Big,"green,violet",95325
20250621100010885,7,Big,green,46237
20250621100010886,0,Small,"red,violet",8570
20250621100010887,8,Big,red,67408
20250621100010888,4,Small,red,70854
20250621100010889,6,Big,red,7666
20250621100010890,9,Big,green,43179
20250621100010891,4,Small,red,99814
20250621100010892,4,Small,red,10034
20250621100010893,0,Small,"red,violet",53630
20250621100010894,3,Small,green,85263
20250621100010895,5,Big,"green,violet",69715
20250621100010896,6,Big,red,84816
20250621100010897,4,Small,red,89884
20250621100010898,9,Big,green,16409
20250621100010899,9,Big,green,13949
20250621100010900,7,Big,green,80267
20250621100010901,1,Small,green,45331
20250621100010902,5,Big,"green,violet",78325
20250621100010903,3,Small,green,41543
20250621100010904,5,Big,"green,violet",835
20250621100010905,8,Big,red,84628
20250621100010906,3,Small,green,443
20250621100010907,1,Small,green,60261
20250621100010908,3,Small,green,54883
20250621100010909,5,Big,"green,violet",53985
20250621100010910,7,Big,green,17017
20250621100010911,4,Small,red,14814
20250621100010912,1,Small,green,95781
20250621100010913,9,Big,green,68609
20250621100010914,3,Small,green,22683
20250621100010915,4,Small,red,53744
20250621100010916,9,Big,green,94459
20250621100010917,6,Big,red,55856
20250621100010918,3,Small,green,15093
20250621100010919,9,Big,green,63749
20250621100010920,3,Small,green,52313
20250621100010921,3,Small,green,79623
20250621100010922,4,Small,red,20674
20250621100010923,2,Small,red,76902
20250621100010924,4,Small,red,61764
20250621100010925,3,Small,green,22533
20250621100010926,7,Big,green,45627
20250621100010927,5,Big,"green,violet",36425
20250621100010928,4,Small,red,15314
20250621100010929,3,Small,green,71363
20250621100010930,9,Big,green,76179
20250621100010931,2,Small,red,85852
20250621100010932,3,Small,green,79023
20250621100010933,7,Big,green,44157
20250621100010934,6,Big,red,34316
20250621100010935,3,Small,green,53873
20250621100010936,1,Small,green,81471
20250621100010937,3,Small,green,58693
20250621100010938,9,Big,green,79369
20250621100010939,4,Small,red,53384
20250621100010940,2,Small,red,47052
20250621100010941,7,Big,green,70537
20250621100010942,1,Small,green,81651
20250621100010943,8,Big,red,2158
20250621100010944,9,Big,green,22479
20250621100010945,4,Small,red,95604
20250621100010946,1,Small,green,92001
20250621100010947,7,Big,green,35577
20250621100010948,6,Big,red,77236
20250621100010949,8,Big,red,15458
20250621100010950,6,Big,red,65886
20250621100010951,6,Big,red,3566
20250621100010952,5,Big,"green,violet",29015
20250621100010953,0,Small,"red,violet",79330
20250621100010954,7,Big,green,79567
20250621100010955,4,Small,red,50014
20250621100010956,9,Big,green,1069
20250621100010957,9,Big,green,31059
20250621100010958,7,Big,green,45207
20250621100010959,8,Big,red,3978
20250621100010960,5,Big,"green,violet",50405
20250621100010961,9,Big,green,1899
20250621100010962,4,Small,red,56584
20250621100010963,7,Big,green,70917
20250621100010964,6,Big,red,92436
20250621100010965,2,Small,red,45792
20250621100010966,0,Small,"red,violet",47870
20250621100010967,5,Big,"green,violet",30935
20250621100010968,6,Big,red,6116
20250621100010969,5,Big,"green,violet",54215
20250621100010970,2,Small,red,60022
20250621100010971,1,Small,green,15171
20250621100010972,4,Small,red,81014
20250621100010973,5,Big,"green,violet",82055
20250621100010974,5,Big,"green,violet",50385
20250621100010975,9,Big,green,87349
20250621100010976,0,Small,"red,violet",86210
20250621100010977,8,Big,red,81648
20250621100010978,1,Small,green,91341
20250621100010979,2,Small,red,31102
20250621100010980,3,Small,green,86833
20250621100010981,0,Small,"red,violet",62900
20250621100010982,8,Big,red,63818
20250621100010983,9,Big,green,21569
20250621100010984,3,Small,green,40043
20250621100010985,3,Small,green,28963
20250621100010986,9,Big,green,95419
20250621100010987,6,Big,red,86836
20250621100010988,9,Big,green,65729
20250621100010989,6,Big,red,17256
20250621100010990,9,Big,green,40509
20250621100010991,8,Big,red,1358
20250621100010992,8,Big,red,93318
20250621100010993,6,Big,red,77286
20250621100010994,4,Small,red,9814
20250621100010995,7,Big,green,87867
20250621100010996,1,Small,green,51941
20250621100010997,6,Big,red,4406
20250621100010998,0,Small,"red,violet",9170
20250621100010999,0,Small,"red,violet",16880
20250621100011000,5,Big,"green,violet",49855
20250621100011001,7,Big,green,50627
20250621100011002,7,Big,green,55437
20250621100011003,9,Big,green,85519
20250621100011004,9,Big,green,47699
20250621100011005,5,Big,"green,violet",75785
20250621100011006,7,Big,green,48407
20250621100011007,5,Big,"green,violet",31905
20250621100011008,4,Small,red,85964
20250621100011009,0,Small,"red,violet",25890
20250621100011010,3,Small,green,15113
20250621100011011,7,Big,green,35867
20250621100011012,4,Small,red,55144
20250621100011013,3,Small,green,42243
20250621100011014,4,Small,red,46514
20250621100011015,2,Small,red,97822
20250621100011016,1,Small,green,14981
20250621100011017,7,Big,green,69697
20250621100011018,7,Big,green,84627
20250621100011019,8,Big,red,92848
20250621100011020,1,Small,green,27661
20250621100011021,6,Big,red,50366
20250621100011022,4,Small,red,14684
20250621100011023,0,Small,"red,violet",27900
20250621100011024,0,Small,"red,violet",40910
20250621100011025,1,Small,green,33061
20250621100011026,9,Big,green,52459
20250621100011027,0,Small,"red,violet",88630
20250621100011028,5,Big,"green,violet",56225
20250621100011029,9,Big,green,41369
20250621100011030,0,Small,"red,violet",28390
20250621100011031,2,Small,red,82712
20250621100011032,3,Small,green,55973
20250621100011033,8,Big,red,89578
20250621100011034,2,Small,red,5822
20250621100011035,4,Small,red,26254
20250621100011036,4,Small,red,40924
20250621100011037,2,Small,red,26092
20250621100011038,4,Small,red,36594
20250621100011039,9,Big,green,94949
20250621100011040,4,Small,red,59614
20250621100011041,6,Big,red,67106
20250621100011042,0,Small,"red,violet",20960
20250621100011043,1,Small,green,64801
20250621100011044,2,Small,red,97182
20250621100011045,4,Small,red,36284
20250621100011046,0,Small,"red,violet",53990
20250621100011047,1,Small,green,95831
20250621100011048,6,Big,red,90486
20250621100011049,6,Big,red,54746
20250621100011050,3,Small,green,95343
20250621100011051,6,Big,red,49566
20250621100011052,1,Small,green,15731
20250621100011053,4,Small,red,7094
20250621100011054,3,Small,green,30683
20250621100011055,1,Small,green,75231
20250621100011056,8,Big,red,458
20250621100011057,6,Big,red,19806
20250621100011058,7,Big,green,69507
20250621100011059,8,Big,red,22428
20250621100011060,6,Big,red,73406
20250621100011061,0,Small,"red,violet",31390
20250621100011062,8,Big,red,90078
20250621100011063,8,Big,red,10098
20250621100011064,6,Big,red,30276
20250621100011065,7,Big,green,80227
20250621100011066,1,Small,green,39511
20250621100011067,6,Big,red,3786
20250621100011068,5,Big,"green,violet",42475
20250621100011069,5,Big,"green,violet",28035
20250621100011070,2,Small,red,85922
20250621100011071,0,Small,"red,violet",74940
20250621100011072,9,Big,green,16299
20250621100011073,3,Small,green,16223
20250621100011074,8,Big,red,63298
20250621100011075,2,Small,red,8662
20250621100011076,3,Small,green,56683
20250621100011077,0,Small,"red,violet",79990
20250621100011078,2,Small,red,82442
20250621100011079,1,Small,green,63551
20250621100011080,6,Big,red,34496
20250621100011081,7,Big,green,21287
20250621100011082,9,Big,green,32099
20250621100011083,5,Big,"green,violet",43995
20250621100011084,4,Small,red,73784
20250621100011085,1,Small,green,46701
20250621100011086,2,Small,red,67902
20250621100011087,8,Big,red,11698
20250621100011088,3,Small,green,47883
20250621100011089,8,Big,red,75358
20250621100011090,3,Small,green,87593
20250621100011091,4,Small,red,5424
20250621100011092,4,Small,red,48524
20250621100011093,8,Big,red,16428
20250621100011094,1,Small,green,65521
20250621100011095,6,Big,red,23026
20250621100011096,3,Small,green,22143
20250621100011097,0,Small,"red,violet",68990
20250621100011098,4,Small,red,17044
20250621100011099,3,Small,green,83303
20250621100011100,2,Small,red,26612
20250621100011101,3,Small,green,82553
20250621100011102,0,Small,"red,violet",25370
20250621100011103,6,Big,red,68896
20250621100011104,1,Small,green,6511
20250621100011105,2,Small,red,38702
20250621100011106,0,Small,"red,violet",69230
20250621100011107,0,Small,"red,violet",48230
20250621100011108,3,Small,green,8563
20250621100011109,3,Small,green,87493
20250621100011110,3,Small,green,22623
20250621100011111,8,Big,red,98168
20250621100011112,6,Big,red,65446
20250621100011113,9,Big,green,45789
20250621100011114,6,Big,red,23946
20250621100011115,3,Small,green,75783
20250621100011116,6,Big,red,93926
20250621100011117,9,Big,green,34149
20250621100011118,6,Big,red,51056
20250621100011119,0,Small,"red,violet",97410
20250621100011120,9,Big,green,23459
20250621100011121,0,Small,"red,violet",10290
20250621100011122,5,Big,"green,violet",59865
20250621100011123,4,Small,red,49914
20250621100011124,4,Small,red,48954
20250621100011125,2,Small,red,53452
20250621100011126,8,Big,red,17278
20250621100011127,5,Big,"green,violet",70885
20250621100011128,5,Big,"green,violet",47865
20250621100011129,7,Big,green,13237
20250621100011130,4,Small,red,56264
20250621100011131,5,Big,"green,violet",43775
20250621100011132,4,Small,red,6594
20250621100011133,6,Big,red,95596
20250621100011134,2,Small,red,67882
20250621100011135,2,Small,red,4032
20250621100011136,7,Big,green,70817
20250621100011137,1,Small,green,59971
20250621100011138,4,Small,red,12144
20250621100011139,9,Big,green,46379
20250621100011140,2,Small,red,67852
20250621100011141,9,Big,green,98549
20250621100011142,4,Small,red,3984
20250621100011143,9,Big,green,83149
20250621100011144,5,Big,"green,violet",60185
20250621100011145,9,Big,green,52809
20250621100011146,2,Small,red,1702
20250621100011147,5,Big,"green,violet",915
20250621100011148,7,Big,green,16907
20250621100011149,0,Small,"red,violet",70620
20250621100011150,3,Small,green,15443
20250621100011151,2,Small,red,44952
20250621100011152,9,Big,green,19329
20250621100011153,7,Big,green,47637
20250621100011154,6,Big,red,65136
20250621100011155,3,Small,green,38973
20250621100011156,4,Small,red,69344
20250621100011157,1,Small,green,29071
20250621100011158,6,Big,red,95796
20250621100011159,0,Small,"red,violet",58970
20250621100011160,3,Small,green,11733
20250621100011161,5,Big,"green,violet",6925
20250621100011162,9,Big,green,71969
20250621100011163,9,Big,green,72289
20250621100011164,8,Big,red,73088
20250621100011165,1,Small,green,92141
20250621100011166,7,Big,green,58137
20250621100011167,4,Small,red,7174
20250621100011168,5,Big,"green,violet",44875
20250621100011169,5,Big,"green,violet",53035
20250621100011170,7,Big,green,79577
20250621100011171,2,Small,red,78192
20250621100011172,9,Big,green,78459
20250621100011173,8,Big,red,18
20250621100011174,3,Small,green,53393
20250621100011175,4,Small,red,5734
20250621100011176,5,Big,"green,violet",38085
20250621100011177,7,Big,green,39617
20250621100011178,1,Small,green,93561
20250621100011179,5,Big,"green,violet",52805
20250621100011180,5,Big,"green,violet",27875
20250621100011181,9,Big,green,35159
20250621100011182,6,Big,red,15346
20250621100011183,0,Small,"red,violet",14060
20250621100011184,3,Small,green,27903
20250621100011185,4,Small,red,34764
20250621100011186,1,Small,green,94101
20250621100011187,9,Big,green,26509
20250621100011188,1,Small,green,4571
20250621100011189,9,Big,green,82629
20250621100011190,1,Small,green,20951
20250621100011191,7,Big,green,16997
20250621100011192,1,Small,green,22221
20250621100011193,4,Small,red,86764
20250621100011194,1,Small,green,36991
20250621100011195,4,Small,red,65504
20250621100011196,1,Small,green,6721
20250621100011197,7,Big,green,97087
20250621100011198,6,Big,red,13896
20250621100011199,7,Big,green,80817
20250621100011200,6,Big,red,8336
20250621100011201,1,Small,green,50441
20250621100011202,3,Small,green,57013
20250621100011203,6,Big,red,95416
20250621100011204,3,Small,green,37533
20250621100011205,1,Small,green,74001
20250621100011206,6,Big,red,23186
20250621100011207,0,Small,"red,violet",82570
20250621100011208,1,Small,green,8261
20250621100011209,7,Big,green,69327
20250621100011210,7,Big,green,22487
20250621100011211,9,Big,green,98379
20250621100011212,5,Big,"green,violet",80735
20250621100011213,6,Big,red,2246
20250621100011214,0,Small,"red,violet",95860
20250621100011215,9,Big,green,33079
20250621100011216,3,Small,green,88013
20250621100011217,7,Big,green,87607
20250621100011218,1,Small,green,56601
20250621100011219,6,Big,red,1456
20250621100011220,6,Big,red,54606
20250621100011221,9,Big,green,76229
20250621100011222,4,Small,red,29084
20250621100011223,0,Small,"red,violet",42530
20250621100011224,4,Small,red,88774
20250621100011225,0,Small,"red,violet",64930
20250621100011226,4,Small,red,69714
20250621100011227,0,Small,"red,violet",3480
20250621100011228,8,Big,red,90818
20250621100011229,4,Small,red,25104
20250621100011230,5,Big,"green,violet",36305
20250621100011231,4,Small,red,92024
20250621100011232,2,Small,red,37722
20250621100011233,3,Small,green,75053
20250621100011234,1,Small,green,59131
20250621100011235,0,Small,"red,violet",80300
20250621100011236,4,Small,red,5154
20250621100011237,2,Small,red,75282
20250621100011238,4,Small,red,97724
20250621100011239,1,Small,green,13771
20250621100011240,0,Small,"red,violet",38310
20250621100011241,9,Big,green,42949
20250621100011242,5,Big,"green,violet",75295
20250621100011243,8,Big,red,32418
20250621100011244,1,Small,green,51941
